group	bytes	files	path	reason
01-current	708466354	1132	/data/data/com.termux/files/home/alpine-build	Current Android source and unfinished v66 overlay
02-support	2794236	681	/data/data/com.termux/files/home/alpine-debug-packages	Alpine support/patch inputs
02-support	12534072	7	/data/data/com.termux/files/home/alpine-downloads	Alpine support/patch inputs
02-support	8952449	425	/data/data/com.termux/files/home/alpine-inject	Alpine support/patch inputs
02-support	471	1	/data/data/com.termux/files/home/alpine-refine	Alpine support/patch inputs
03-assembly-history	387894156	3841	/data/data/com.termux/files/home/alpine-v52-assembly	Earlier rootfs/bootstrap assembly
03-assembly-history	387897920	3841	/data/data/com.termux/files/home/alpine-v53-assembly	Earlier rootfs/bootstrap assembly
03-assembly-history	387898438	3841	/data/data/com.termux/files/home/alpine-v54-assembly	Earlier rootfs/bootstrap assembly
03-assembly-history	387907037	3845	/data/data/com.termux/files/home/alpine-v55-assembly	Earlier rootfs/bootstrap assembly
03-assembly-history	391790330	4140	/data/data/com.termux/files/home/alpine-v56-assembly	Earlier rootfs/bootstrap assembly
03-assembly-history	391787507	4139	/data/data/com.termux/files/home/alpine-v57-assembly	Earlier rootfs/bootstrap assembly
03-assembly-history	391788744	4139	/data/data/com.termux/files/home/alpine-v58-assembly	Earlier rootfs/bootstrap assembly
03-assembly-history	391790723	4139	/data/data/com.termux/files/home/alpine-v59-assembly	Earlier rootfs/bootstrap assembly
03-assembly-history	391790912	4139	/data/data/com.termux/files/home/alpine-v60-assembly	Earlier rootfs/bootstrap assembly
03-assembly-history	391794718	4139	/data/data/com.termux/files/home/alpine-v61-assembly	Earlier rootfs/bootstrap assembly
01-current	548911	12	/data/data/com.termux/files/home/alpine-v66-work	Current Android source and unfinished v66 overlay
02-support	405610	35	/data/data/com.termux/files/home/audit-sources	Runtime or X11 integration input
04-bootstrap-history	30747593	1	/data/data/com.termux/files/home/bootstrap-aarch64-branded-v2.zip	Standalone bootstrap version
04-bootstrap-history	30775664	1	/data/data/com.termux/files/home/bootstrap-aarch64-branded-v8.zip	Standalone bootstrap version
04-bootstrap-history	30747937	1	/data/data/com.termux/files/home/bootstrap-aarch64-branded.zip	Standalone bootstrap version
04-bootstrap-history	34960908	1	/data/data/com.termux/files/home/bootstrap-aarch64-final.zip	Standalone bootstrap version
04-bootstrap-history	30638495	1	/data/data/com.termux/files/home/bootstrap-aarch64-fixed.zip	Standalone bootstrap version
04-bootstrap-history	30997716	1	/data/data/com.termux/files/home/bootstrap-aarch64-lite.zip	Standalone bootstrap version
04-bootstrap-history	34927735	1	/data/data/com.termux/files/home/bootstrap-aarch64-mega.zip	Standalone bootstrap version
04-bootstrap-history	35117008	1	/data/data/com.termux/files/home/bootstrap-aarch64-ultimate-v29.zip	Standalone bootstrap version
04-bootstrap-history	35159653	1	/data/data/com.termux/files/home/bootstrap-aarch64-ultimate.zip	Standalone bootstrap version
04-bootstrap-history	203885963	1	/data/data/com.termux/files/home/bootstrap-aarch64-v52.zip	Standalone bootstrap version
04-bootstrap-history	203886741	1	/data/data/com.termux/files/home/bootstrap-aarch64-v53.zip	Standalone bootstrap version
04-bootstrap-history	203886918	1	/data/data/com.termux/files/home/bootstrap-aarch64-v54.zip	Standalone bootstrap version
04-bootstrap-history	203893293	1	/data/data/com.termux/files/home/bootstrap-aarch64-v55.zip	Standalone bootstrap version
04-bootstrap-history	205205269	1	/data/data/com.termux/files/home/bootstrap-aarch64-v56.zip	Standalone bootstrap version
04-bootstrap-history	204981124	1	/data/data/com.termux/files/home/bootstrap-aarch64-v57.zip	Standalone bootstrap version
04-bootstrap-history	204981498	1	/data/data/com.termux/files/home/bootstrap-aarch64-v58.zip	Standalone bootstrap version
04-bootstrap-history	204981976	1	/data/data/com.termux/files/home/bootstrap-aarch64-v59.zip	Standalone bootstrap version
04-bootstrap-history	204982050	1	/data/data/com.termux/files/home/bootstrap-aarch64-v60.zip	Standalone bootstrap version
04-bootstrap-history	204982174	1	/data/data/com.termux/files/home/bootstrap-aarch64-v61.zip	Standalone bootstrap version
04-bootstrap-history	204982559	1	/data/data/com.termux/files/home/bootstrap-aarch64-v62.zip	Standalone bootstrap version
04-bootstrap-history	204982641	1	/data/data/com.termux/files/home/bootstrap-aarch64-v63.zip	Standalone bootstrap version
04-bootstrap-history	204982705	1	/data/data/com.termux/files/home/bootstrap-aarch64-v64.zip	Standalone bootstrap version
04-bootstrap-history	204982812	1	/data/data/com.termux/files/home/bootstrap-aarch64-v65.zip	Standalone bootstrap version
04-bootstrap-history	30747888	1	/data/data/com.termux/files/home/bootstrap-aarch64.zip	Standalone bootstrap version
02-support	293080	2	/data/data/com.termux/files/home/dpkg-check	Runtime or X11 integration input
02-support	161252	1	/data/data/com.termux/files/home/libncursesw-6.5_p20251123-r0.apk	Alpine Linux package used in investigation
02-support	416104	1	/data/data/com.termux/files/home/musl-1.2.5-r23.apk	Alpine Linux package used in investigation
02-support	164344	1	/data/data/com.termux/files/home/nano-8.7-r0.apk	Alpine Linux package used in investigation
02-support	21839	1	/data/data/com.termux/files/home/ncurses-terminfo-base-6.5_p20251123-r0.apk	Alpine Linux package used in investigation
02-support	9107645	451	/data/data/com.termux/files/home/pd-bundle	Runtime or X11 integration input
02-support	2438	1	/data/data/com.termux/files/home/termux-x11-Loader.java	Runtime or X11 integration input
02-support	9161	1	/data/data/com.termux/files/home/termux-x11-README.md	Runtime or X11 integration input
02-support	331	2	/data/data/com.termux/files/home/termux-x11-deb-control	Runtime or X11 integration input
02-support	7212	3	/data/data/com.termux/files/home/termux-x11-deb-extract	Runtime or X11 integration input
02-support	5242	1	/data/data/com.termux/files/home/termux-x11-nightly-1.03.01-0-all.deb	Runtime or X11 integration input
02-support	3227296	185	/data/data/com.termux/files/home/termux-x11-src	Runtime or X11 integration input
03-assembly-history	8702507	419	/data/data/com.termux/files/home/~/alpine-v46-assembly	Historical assembly accidentally created under literal tilde directory
03-assembly-history	0	1	/data/data/com.termux/files/home/~/alpine-v47-assembly	Historical assembly accidentally created under literal tilde directory
05-existing-archives	15778304	1	/data/data/com.termux/files/home/workspace-archives/gemini-20260510.tar.zst	Already compressed history; mixed old-other archive also holds Alpineo/Vectras source
05-existing-archives	678	1	/data/data/com.termux/files/home/workspace-archives/old-alpine-workdirs-20260510.list	Already compressed history; mixed old-other archive also holds Alpineo/Vectras source
